Symbol,Date,Metric,Value
AAPL,2013-05-13,High,65.414284
AAPL,2013-05-14,High,65.028572
AAPL,2013-05-15,High,63.0
AAPL,2013-05-16,High,62.549999
AAPL,2013-05-17,High,62.869999
AAPL,2013-05-20,High,63.685715
AAPL,2013-05-21,High,63.639999
AAPL,2013-05-22,High,64.050003
AAPL,2013-05-23,High,63.737144
AAPL,2013-05-24,High,63.665714
AAPL,2013-05-28,High,64.444283
AAPL,2013-05-29,High,63.92857
AAPL,2013-05-30,High,64.928574
AAPL,2013-05-31,High,65.300003
AAPL,2013-06-03,High,64.622856
AAPL,2013-06-04,High,64.918571
AAPL,2013-06-05,High,64.388573
AAPL,2013-06-06,High,63.857143
AAPL,2013-06-07,High,63.32
AAPL,2013-06-10,High,64.154289
AAPL,2013-06-11,High,63.251427
AAPL,2013-06-12,High,63.035713
AAPL,2013-06-13,High,62.44857
AAPL,2013-06-14,High,62.327145
AAPL,2013-06-17,High,62.242859
AAPL,2013-06-18,High,62.128571
AAPL,2013-06-19,High,61.665714
AAPL,2013-06-20,High,60.854286
AAPL,2013-06-21,High,60.0
AAPL,2013-06-24,High,58.380001
AAPL,2013-06-25,High,58.255714
AAPL,2013-06-26,High,57.827145
AAPL,2013-06-27,High,57.341427
AAPL,2013-06-28,High,57.181427
AAPL,2013-07-01,High,58.895714
AAPL,2013-07-02,High,60.232857
AAPL,2013-07-03,High,60.425713
AAPL,2013-07-05,High,60.470001
AAPL,2013-07-08,High,60.142857
AAPL,2013-07-09,High,60.5
AAPL,2013-07-10,High,60.685715
AAPL,2013-07-11,High,61.17857
AAPL,2013-07-12,High,61.398571
AAPL,2013-07-15,High,61.637142
AAPL,2013-07-16,High,61.529999
AAPL,2013-07-17,High,61.745716
AAPL,2013-07-18,High,62.124287
AAPL,2013-07-19,High,61.997143
AAPL,2013-07-22,High,61.392857
AAPL,2013-07-23,High,60.994286
AAPL,2013-07-24,High,63.512856
AAPL,2013-07-25,High,63.057144
AAPL,2013-07-26,High,63.005714
AAPL,2013-07-29,High,64.284286
AAPL,2013-07-30,High,65.307144
AAPL,2013-07-31,High,65.334282
AAPL,2013-08-01,High,65.257141
AAPL,2013-08-02,High,66.121429
AAPL,2013-08-05,High,67.238571
AAPL,2013-08-06,High,67.412857
AAPL,2013-08-07,High,66.714287
AAPL,2013-08-08,High,66.300003
AAPL,2013-08-09,High,65.779999
AAPL,2013-08-12,High,66.949997
AAPL,2013-08-13,High,70.665718
AAPL,2013-08-14,High,72.035713
AAPL,2013-08-15,High,71.771431
AAPL,2013-08-16,High,71.848572
AAPL,2013-08-19,High,73.391426
AAPL,2013-08-20,High,72.938568
AAPL,2013-08-21,High,72.449997
AAPL,2013-08-22,High,72.227142
AAPL,2013-08-23,High,71.907143
AAPL,2013-08-26,High,72.885712
AAPL,2013-08-27,High,71.78714
AAPL,2013-08-28,High,70.828575
AAPL,2013-08-29,High,70.928574
AAPL,2013-08-30,High,70.421425
AAPL,2013-09-03,High,71.514282
AAPL,2013-09-04,High,71.748573
AAPL,2013-09-05,High,71.525711
AAPL,2013-09-06,High,71.339996
AAPL,2013-09-09,High,72.559998
AAPL,2013-09-10,High,72.492859
AAPL,2013-09-11,High,67.669998
AAPL,2013-09-12,High,67.914284
AAPL,2013-09-13,High,67.404289
AAPL,2013-09-16,High,65.944283
AAPL,2013-09-17,High,65.672859
AAPL,2013-09-18,High,66.621429
AAPL,2013-09-19,High,67.975716
AAPL,2013-09-20,High,68.364288
AAPL,2013-09-23,High,70.987144
AAPL,2013-09-24,High,70.781425
AAPL,2013-09-25,High,69.94857
AAPL,2013-09-26,High,69.794289
AAPL,2013-09-27,High,69.238571
AAPL,2013-09-30,High,68.808571
AAPL,2013-10-01,High,69.877144
AAPL,2013-10-02,High,70.257141
AAPL,2013-10-03,High,70.335716
AAPL,2013-10-04,High,69.228569
AAPL,2013-10-07,High,70.378571
AAPL,2013-10-08,High,70.091431
AAPL,2013-10-09,High,69.684288
AAPL,2013-10-10,High,70.339996
AAPL,2013-10-11,High,70.548569
AAPL,2013-10-14,High,71.082855
AAPL,2013-10-15,High,71.714287
AAPL,2013-10-16,High,71.790001
AAPL,2013-10-17,High,72.111427
AAPL,2013-10-18,High,72.751427
AAPL,2013-10-21,High,74.900002
AAPL,2013-10-22,High,75.492859
AAPL,2013-10-23,High,75.095711
AAPL,2013-10-24,High,76.067146
AAPL,2013-10-25,High,76.175713
AAPL,2013-10-28,High,75.85714
AAPL,2013-10-29,High,77.035713
AAPL,2013-10-30,High,75.360001
AAPL,2013-10-31,High,75.355713
AAPL,2013-11-01,High,74.971428
AAPL,2013-11-04,High,75.260002
AAPL,2013-11-05,High,75.555717
AAPL,2013-11-06,High,74.980003
AAPL,2013-11-07,High,74.741432
AAPL,2013-11-08,High,74.447144
AAPL,2013-11-11,High,74.524284
AAPL,2013-11-12,High,74.845711
AAPL,2013-11-13,High,74.60714
AAPL,2013-11-14,High,75.611427
AAPL,2013-11-15,High,75.584282
AAPL,2013-11-18,High,75.312859
AAPL,2013-11-19,High,74.76857
AAPL,2013-11-20,High,74.345711
AAPL,2013-11-21,High,74.458572
AAPL,2013-11-22,High,74.594284
AAPL,2013-11-25,High,75.124283
AAPL,2013-11-26,High,76.591431
AAPL,2013-11-27,High,78.0
AAPL,2013-11-29,High,79.761429
AAPL,2013-12-02,High,80.618568
AAPL,2013-12-03,High,80.91143
AAPL,2013-12-04,High,81.312859
AAPL,2013-12-05,High,82.162857
AAPL,2013-12-06,High,80.964287
AAPL,2013-12-09,High,81.368568
AAPL,2013-12-10,High,81.125717
AAPL,2013-12-11,High,81.567146
AAPL,2013-12-12,High,80.762856
AAPL,2013-12-13,High,80.41143
AAPL,2013-12-16,High,80.377144
AAPL,2013-12-17,High,79.919998
AAPL,2013-12-18,High,78.778572
AAPL,2013-12-19,High,78.571426
AAPL,2013-12-20,High,78.80143
AAPL,2013-12-23,High,81.531425
AAPL,2013-12-24,High,81.697144
AAPL,2013-12-26,High,81.35714
AAPL,2013-12-27,High,80.629997
AAPL,2013-12-30,High,80.012856
AAPL,2013-12-31,High,80.182854
AAPL,2014-01-02,High,79.575714
AAPL,2014-01-03,High,79.099998
AAPL,2014-01-06,High,78.114288
AAPL,2014-01-07,High,77.994286
AAPL,2014-01-08,High,77.937141
AAPL,2014-01-09,High,78.122856
AAPL,2014-01-10,High,77.257141
AAPL,2014-01-13,High,77.5
AAPL,2014-01-14,High,78.104286
AAPL,2014-01-15,High,80.028572
AAPL,2014-01-16,High,79.550003
AAPL,2014-01-17,High,78.867142
AAPL,2014-01-21,High,78.581429
AAPL,2014-01-22,High,79.612854
AAPL,2014-01-23,High,79.5
AAPL,2014-01-24,High,79.374283
AAPL,2014-01-27,High,79.257141
AAPL,2014-01-28,High,73.571426
AAPL,2014-01-29,High,72.48143
AAPL,2014-01-30,High,72.35714
AAPL,2014-01-31,High,71.647141
AAPL,2014-02-03,High,72.53286
AAPL,2014-02-04,High,72.779999
AAPL,2014-02-05,High,73.611427
AAPL,2014-02-06,High,73.35714
AAPL,2014-02-07,High,74.704285
AAPL,2014-02-10,High,75.998573
AAPL,2014-02-11,High,76.821426
AAPL,2014-02-12,High,77.080002
AAPL,2014-02-13,High,77.835716
AAPL,2014-02-14,High,77.997147
AAPL,2014-02-18,High,78.741432
AAPL,2014-02-19,High,78.127144
AAPL,2014-02-20,High,76.714287
AAPL,2014-02-21,High,76.367142
AAPL,2014-02-24,High,75.702858
AAPL,2014-02-25,High,75.652855
AAPL,2014-02-26,High,75.0
AAPL,2014-02-27,High,75.540001
AAPL,2014-02-28,High,76.10714
AAPL,2014-03-03,High,75.807144
AAPL,2014-03-04,High,76.091431
AAPL,2014-03-05,High,76.39286
AAPL,2014-03-06,High,76.348572
AAPL,2014-03-07,High,75.997147
AAPL,2014-03-10,High,76.190002
AAPL,2014-03-11,High,76.96286
AAPL,2014-03-12,High,76.764282
AAPL,2014-03-13,High,77.094284
AAPL,2014-03-14,High,75.841431
AAPL,2014-03-17,High,75.709999
AAPL,2014-03-18,High,75.995712
AAPL,2014-03-19,High,76.605713
AAPL,2014-03-20,High,76.095711
AAPL,2014-03-21,High,76.25
AAPL,2014-03-24,High,77.214287
AAPL,2014-03-25,High,77.964287
AAPL,2014-03-26,High,78.428574
AAPL,2014-03-27,High,77.35714
AAPL,2014-03-28,High,76.991432
AAPL,2014-03-31,High,77.258568
AAPL,2014-04-01,High,77.410004
AAPL,2014-04-02,High,77.639999
AAPL,2014-04-03,High,77.5
AAPL,2014-04-04,High,77.14286
AAPL,2014-04-07,High,75.842857
AAPL,2014-04-08,High,75.160004
AAPL,2014-04-09,High,75.784286
AAPL,2014-04-10,High,76.034286
AAPL,2014-04-11,High,74.690002
AAPL,2014-04-14,High,74.594284
AAPL,2014-04-15,High,74.519997
AAPL,2014-04-16,High,74.441429
AAPL,2014-04-17,High,75.394287
AAPL,2014-04-21,High,76.019997
AAPL,2014-04-22,High,75.975716
AAPL,2014-04-23,High,75.875717
AAPL,2014-04-24,High,81.428574
AAPL,2014-04-25,High,81.71286
AAPL,2014-04-28,High,85.10714
AAPL,2014-04-29,High,85.139999
AAPL,2014-04-30,High,85.632858
AAPL,2014-05-01,High,84.971428
AAPL,2014-05-02,High,84.885712
AAPL,2014-05-05,High,85.85714
AAPL,2014-05-06,High,86.344284
AAPL,2014-05-07,High,85.327141
AAPL,2014-05-08,High,84.915718
AAPL,2014-05-09,High,83.75
AAPL,2014-05-12,High,84.808571
AAPL,2014-05-13,High,84.934288
AAPL,2014-05-14,High,85.342857
AAPL,2014-05-15,High,85.228569
AAPL,2014-05-16,High,85.361427
AAPL,2014-05-19,High,86.761429
AAPL,2014-05-20,High,86.628571
AAPL,2014-05-21,High,86.671425
AAPL,2014-05-22,High,87.121429
AAPL,2014-05-23,High,87.818573
AAPL,2014-05-27,High,89.408569
AAPL,2014-05-28,High,89.975716
AAPL,2014-05-29,High,90.98143
AAPL,2014-05-30,High,92.024284
AAPL,2014-06-02,High,90.690002
AAPL,2014-06-03,High,91.248573
AAPL,2014-06-04,High,92.555717
AAPL,2014-06-05,High,92.767143
AAPL,2014-06-06,High,93.03714
AAPL,2014-06-09,High,93.879997
AAPL,2014-06-10,High,95.050003
AAPL,2014-06-11,High,94.760002
AAPL,2014-06-12,High,94.120003
AAPL,2014-06-13,High,92.440002
AAPL,2014-06-16,High,92.75
AAPL,2014-06-17,High,92.699997
AAPL,2014-06-18,High,92.290001
AAPL,2014-06-19,High,92.300003
AAPL,2014-06-20,High,92.550003
AAPL,2014-06-23,High,91.620003
AAPL,2014-06-24,High,91.739998
AAPL,2014-06-25,High,90.699997
AAPL,2014-06-26,High,91.050003
AAPL,2014-06-27,High,92.0
AAPL,2014-06-30,High,93.730003
AAPL,2014-07-01,High,94.07
AAPL,2014-07-02,High,94.059998
AAPL,2014-07-03,High,94.099998
AAPL,2014-07-07,High,95.989998
AAPL,2014-07-08,High,96.800003
AAPL,2014-07-09,High,95.949997
AAPL,2014-07-10,High,95.550003
AAPL,2014-07-11,High,95.889999
AAPL,2014-07-14,High,96.889999
AAPL,2014-07-15,High,96.849998
AAPL,2014-07-16,High,97.099998
AAPL,2014-07-17,High,95.279999
AAPL,2014-07-18,High,94.739998
AAPL,2014-07-21,High,95.0
AAPL,2014-07-22,High,94.889999
AAPL,2014-07-23,High,97.879997
AAPL,2014-07-24,High,97.32
AAPL,2014-07-25,High,97.839996
AAPL,2014-07-28,High,99.239998
AAPL,2014-07-29,High,99.440002
AAPL,2014-07-30,High,98.699997
AAPL,2014-07-31,High,97.449997
AAPL,2014-08-01,High,96.620003
AAPL,2014-08-04,High,96.580002
AAPL,2014-08-05,High,95.68
AAPL,2014-08-06,High,95.480003
AAPL,2014-08-07,High,95.949997
AAPL,2014-08-08,High,94.82
AAPL,2014-08-11,High,96.080002
AAPL,2014-08-12,High,96.879997
AAPL,2014-08-13,High,97.239998
AAPL,2014-08-14,High,97.57
AAPL,2014-08-15,High,98.190002
AAPL,2014-08-18,High,99.370003
AAPL,2014-08-19,High,100.68
AAPL,2014-08-20,High,101.089996
AAPL,2014-08-21,High,100.940002
AAPL,2014-08-22,High,101.470001
AAPL,2014-08-25,High,102.169998
AAPL,2014-08-26,High,101.5
AAPL,2014-08-27,High,102.57
AAPL,2014-08-28,High,102.779999
AAPL,2014-08-29,High,102.900002
AAPL,2014-09-02,High,103.739998
AAPL,2014-09-03,High,103.199997
AAPL,2014-09-04,High,100.089996
AAPL,2014-09-05,High,99.389999
AAPL,2014-09-08,High,99.309998
AAPL,2014-09-09,High,103.080002
AAPL,2014-09-10,High,101.110001
AAPL,2014-09-11,High,101.440002
AAPL,2014-09-12,High,102.190002
AAPL,2014-09-15,High,103.050003
AAPL,2014-09-16,High,101.260002
AAPL,2014-09-17,High,101.800003
AAPL,2014-09-18,High,102.349998
AAPL,2014-09-19,High,102.349998
AAPL,2014-09-22,High,102.139999
AAPL,2014-09-23,High,102.940002
AAPL,2014-09-24,High,102.849998
AAPL,2014-09-25,High,100.709999
AAPL,2014-09-26,High,100.75
AAPL,2014-09-29,High,100.440002
AAPL,2014-09-30,High,101.540001
AAPL,2014-10-01,High,100.690002
AAPL,2014-10-02,High,100.220001
AAPL,2014-10-03,High,100.209999
AAPL,2014-10-06,High,100.650002
