Date,Metric,AAPL,GOOG
2013-05-13,High,65.414284,438.383728
2013-05-13,Low,64.5,433.868103
2013-05-14,High,65.028572,441.473633
2013-05-14,Low,63.164288,435.735962
2013-05-15,High,63.0,455.229187
2013-05-15,Low,60.337143,444.121429
2013-05-16,High,62.549999,457.017548
2013-05-16,Low,59.842857,448.090607
2013-05-17,High,62.869999,453.793518
2013-05-17,Low,61.572857,447.350403
2013-05-20,High,63.685715,457.325531
2013-05-20,Low,61.442856,449.575928
2013-05-21,High,63.639999,452.88443
2013-05-21,Low,62.028572,445.904816
2013-05-22,High,64.050003,451.71701
2013-05-22,Low,62.602856,440.574493
2013-05-23,High,63.737144,442.104523
2013-05-23,Low,62.255714,434.176117
2013-05-24,High,63.665714,436.570526
2013-05-24,Low,62.908573,432.690765
2013-05-28,High,64.444283,443.1875
2013-05-28,Low,62.978573,437.355438
2013-05-29,High,63.92857,436.158203
2013-05-29,Low,62.771427,429.352478
2013-05-30,High,64.928574,436.61026
2013-05-30,Low,63.501427,430.40564
2013-05-31,High,65.300003,435.666412
2013-05-31,Low,64.214287,430.957031
2013-06-03,High,64.622856,434.161194
2013-06-03,Low,63.21143,424.747437
2013-06-04,High,64.918571,432.482117
2013-06-04,Low,63.912857,424.275482
2013-06-05,High,64.388573,431.915802
2013-06-05,Low,63.387142,425.795624
2013-06-06,High,63.857143,430.365875
2013-06-06,Low,62.007141,420.87262
2013-06-07,High,63.32,437.156708
2013-06-07,Low,61.824287,429.864136
2013-06-10,High,64.154289,442.621185
2013-06-10,Low,62.400002,437.201416
2013-06-11,High,63.251427,440.634094
2013-06-11,Low,61.902859,436.918274
2013-06-12,High,63.035713,440.137329
2013-06-12,Low,61.642857,432.015167
2013-06-13,High,62.44857,436.987823
2013-06-13,Low,61.25,429.953552
2013-06-14,High,62.327145,439.491516
2013-06-14,Low,61.214287,434.240692
2013-06-17,High,62.242859,441.841248
2013-06-17,Low,61.48,436.302277
2013-06-18,High,62.128571,447.588867
2013-06-18,Low,61.458572,441.304749
2013-06-19,High,61.665714,452.477081
2013-06-19,Low,60.42857,445.850189
2013-06-20,High,60.854286,447.588867
2013-06-20,Low,59.310001,438.801025
2013-06-21,High,60.0,442.064789
2013-06-21,Low,58.299999,433.714111
2013-06-24,High,58.380001,435.328613
2013-06-24,Low,56.864285,428.835846
2013-06-25,High,58.255714,436.997742
2013-06-25,Low,56.975716,429.461761
2013-06-26,High,57.827145,436.163177
2013-06-26,Low,56.522858,432.472198
2013-06-27,High,57.341427,439.486572
2013-06-27,Low,56.220001,435.492554
2013-06-28,High,57.181427,438.07077
2013-06-28,Low,55.552856,434.270477
2013-07-01,High,58.895714,443.157684
2013-07-01,Low,57.317142,439.640564
2013-07-02,High,60.232857,442.621185
2013-07-02,Low,58.495716,435.800537
2013-07-03,High,60.425713,441.712097
2013-07-03,Low,59.635715,436.41156
2013-07-05,High,60.470001,444.81192
2013-07-05,Low,59.335712,440.803009
2013-07-08,High,60.142857,450.206848
2013-07-08,Low,58.664288,445.641541
2013-07-09,High,60.5,453.525269
2013-07-09,Low,58.625713,446.088623
2013-07-10,High,60.685715,452.626099
2013-07-10,Low,59.75,447.280884
2013-07-11,High,61.17857,457.429871
2013-07-11,Low,60.167141,451.324554
2013-07-12,High,61.398571,458.517792
2013-07-12,Low,60.487144,454.662842
2013-07-15,High,61.637142,461.001617
2013-07-15,Low,60.685715,455.219238
2013-07-16,High,61.529999,460.986725
2013-07-16,Low,60.595715,453.997192
2013-07-17,High,61.745716,460.435303
2013-07-17,Low,61.174286,455.189423
2013-07-18,High,62.124287,457.027466
2013-07-18,Low,61.515713,448.676788
2013-07-19,High,61.997143,448.557556
2013-07-19,Low,60.621429,434.975891
2013-07-22,High,61.392857,453.386169
2013-07-22,Low,60.781429,445.601776
2013-07-23,High,60.994286,453.550079
2013-07-23,Low,59.815716,446.878479
2013-07-24,High,63.512856,452.208832
2013-07-24,Low,62.18,447.43985
2013-07-25,High,63.057144,445.527283
2013-07-25,Low,62.258572,440.177063
2013-07-26,High,63.005714,442.119446
2013-07-26,Low,62.048573,438.150269
2013-07-29,High,64.284286,444.518829
2013-07-29,Low,62.885715,437.598846
2013-07-30,High,65.307144,444.911285
2013-07-30,Low,64.175713,437.588898
2013-07-31,High,65.334282,445.358368
2013-07-31,Low,64.204285,440.226746
2013-08-01,High,65.257141,449.352386
2013-08-01,Low,64.751427,444.608246
2013-08-02,High,66.121429,450.569489
2013-08-02,Low,65.237144,447.499451
2013-08-05,High,67.238571,449.834259
2013-08-05,Low,66.021431,446.694672
2013-08-06,High,67.412857,451.91571
2013-08-06,Low,66.024284,444.970886
2013-08-07,High,66.714287,446.322113
2013-08-07,Low,65.96714,441.672333
2013-08-08,High,66.300003,445.025543
2013-08-08,Low,65.421425,439.784637
2013-08-09,High,65.779999,444.866577
2013-08-09,Low,64.807144,442.12442
2013-08-12,High,66.949997,440.634094
2013-08-12,Low,65.232857,437.976379
2013-08-13,High,70.665718,441.379242
2013-08-13,Low,66.864288,435.268982
2013-08-14,High,72.035713,437.270966
