Date,AAPL,AMZN,GOOG,IBM
2013-05-13,64.501427,262.769989,436.605316,204.179993
2013-05-14,64.835716,264.5,435.914795,202.089996
2013-05-15,62.737144,267.070007,444.856628,202.25
2013-05-16,60.462856,265.959991,456.530701,204.0
2013-05-17,62.721428,265.829987,452.069733,205.25
2013-05-20,61.701427,269.0,449.575928,208.020004
2013-05-21,62.592857,268.73999,451.076172,207.240005
2013-05-22,63.435715,267.390015,448.363831,208.5
2013-05-23,62.278572,260.48999,435.666412,205.479996
2013-05-24,62.978573,259.850006,434.802032,204.690002
2013-05-28,64.271431,266.480011,438.895416,207.440002
2013-05-29,62.857143,265.459991,435.025574,206.220001
2013-05-30,63.664288,265.709991,432.149292,206.970001
2013-05-31,64.64286,266.0,431.255096,208.589996
2013-06-03,64.389999,268.959991,433.679321,208.25
2013-06-04,64.745712,267.0,431.120972,208.600006
2013-06-05,63.664288,265.809998,428.468231,205.160004
2013-06-06,63.638573,267.75,429.357452,203.0
2013-06-07,62.357143,269.73999,432.397675,204.850006
2013-06-10,63.532856,276.679993,438.199921,206.970001
2013-06-11,62.248573,276.0,439.128876,203.169998
2013-06-12,62.785713,276.600006,439.86908,204.589996
2013-06-13,61.785713,271.5,431.682312,201.009995
2013-06-14,62.200001,275.0,437.20639,203.970001
2013-06-17,61.634285,276.350006,436.7742,203.440002
2013-06-18,61.651428,279.079987,441.453766,203.020004
2013-06-19,61.628571,281.26001,447.772675,204.440002
2013-06-20,59.900002,275.140015,444.106506,200.669998
2013-06-21,59.784286,274.570007,441.299774,198.5
2013-06-24,58.200001,271.290009,433.122955,193.990005
2013-06-25,57.957142,272.299988,435.795563,195.309998
2013-06-26,57.700001,273.980011,434.05191,195.970001
2013-06-27,57.035713,279.179993,436.560608,196.050003
2013-06-28,55.908573,276.190002,434.623199,191.729996
2013-07-01,57.527142,279.0,440.36087,192.149994
2013-07-02,58.565716,281.040009,442.223755,190.779999
2013-07-03,60.122856,282.0,437.107025,190.979996
2013-07-05,60.055714,285.0,442.129364,194.490005
2013-07-08,60.015713,286.420013,446.699646,195.600006
2013-07-09,59.085712,291.0,452.556549,191.880005
2013-07-10,59.942856,291.410004,448.805939,191.509995
2013-07-11,60.421429,294.98999,453.550079,193.779999
2013-07-12,61.092857,298.690002,457.027466,193.070007
2013-07-15,60.715714,307.269989,459.163574,192.419998
