nationality,medal,value
Other,gold,121
Other,silver,127
Other,bronze,216
USA,gold,139
USA,silver,54
USA,bronze,71
GER,gold,49
GER,silver,44
GER,bronze,67
GBR,gold,64
GBR,silver,55
GBR,bronze,26
RUS,gold,52
RUS,silver,29
RUS,bronze,34
CHN,gold,46
CHN,silver,30
CHN,bronze,37
FRA,gold,20
FRA,silver,54
FRA,bronze,21
AUS,gold,23
AUS,silver,34
AUS,bronze,25
ITA,gold,8
ITA,silver,40
ITA,bronze,24
CAN,gold,4
CAN,silver,4
CAN,bronze,61
JPN,gold,17
JPN,silver,13
JPN,bronze,35
SRB,gold,14
SRB,silver,26
SRB,bronze,13
BRA,gold,37
BRA,silver,8
BRA,bronze,6
NED,gold,9
NED,silver,25
NED,bronze,13
ESP,gold,9
ESP,silver,19
ESP,bronze,17
DEN,gold,15
DEN,silver,10
DEN,bronze,16
NZL,gold,6
NZL,silver,25
NZL,bronze,5
JAM,gold,11
JAM,silver,17
JAM,bronze,2
SWE,gold,2
SWE,silver,23
SWE,bronze,3
KOR,gold,13
KOR,silver,3
KOR,bronze,10
CRO,gold,7
CRO,silver,15
CRO,bronze,2
